,报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注,时间,聚类标签,latitude,longitude
5151,2020-1-31,上海,外地来沪,4.0,0.0,0.0,上海卫健委,https://mp.weixin.qq.com/s?__biz=MjM5NTA5NzYyMA==&mid=2654122113&idx=1&sn=1626a6bd9e52c1e0bf81832fbf5fb9fb&chksm=bd3badfa8a4c24ec071a546df187f781c49ee5e7f2c570e8eaea036e78a240f10fc4874a5fe6&mpshare=1&scene=1&srcid=&sharer_sharetime=1580448552311&sharer_shareid=0383e513d8df3dcc0325625527b7581d&exportkey=AQkJFNweIIkFgi%2FDSo8diN8%3D&pass_ticket=Db5UJeN%2BtuRik1JM1H8PdJGQ1%2FsKUHM2OS45z2DxUT%2BJlRbzDepC8Nd5TMFbkrgx#rd,0.0,0.0,0.0,2020-01-31,1,25.996026557034824,117.02338513454245
5152,2020-1-31,韩国,韩国,4.0,0.0,0.0,人民日报,http://news.163.com/20/0131/14/F47NISV50001899O.html,0.0,0.0,0.0,2020-01-31,1,31.14159891163164,121.43194565242811
5153,2020-1-31,海南,乐东县,1.0,0.0,0.0,海南卫健委,http://wst.hainan.gov.cn/yqfk/,0.0,0.0,0.0,2020-01-31,1,18.755871493854865,109.18050798894576
5154,2020-1-31,海南,陵水县,1.0,0.0,0.0,海南卫健委,http://wst.hainan.gov.cn/yqfk/,0.0,0.0,0.0,2020-01-31,1,18.512331595698807,110.04446409254778
5155,2020-1-31,山东,临沂市,3.0,0.0,0.0,山东卫健委,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihX7ujtVHttR7BEsl2GVm200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,35.11067124236514,118.36353300501388
5156,2020-1-31,山东,淄博市,1.0,0.0,0.0,山东卫健委,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihX7ujtVHttR7BEsl2GVm200131&fromapp=cctvnews&version=803&version=803&allow_comment=2,0.0,0.0,0.0,2020-01-31,1,36.81908568332188,118.06145253489896
5157,2020-1-31,山东,菏泽市,1.0,0.0,0.0,山东卫健委,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihX7ujtVHttR7BEsl2GVm200131&fromapp=cctvnews&version=803&version=803&allow_comment=3,0.0,0.0,0.0,2020-01-31,1,35.23940742476551,115.48754503343376
5158,2020-1-31,山东,泰安市,1.0,0.0,0.0,山东卫健委,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihX7ujtVHttR7BEsl2GVm200131&fromapp=cctvnews&version=803&version=803&allow_comment=4,0.0,0.0,0.0,2020-01-31,1,36.2058580448846,117.0944948347959
5159,2020-1-31,重庆,万州区,1.0,0.0,0.0,央视,http://news.sina.com.cn/c/2020-01-31/doc-iimxxste7867375.shtml,0.0,0.0,0.0,2020-01-31,1,30.813621636707666,108.41555837050288
5160,2020-1-31,重庆,渝中区,1.0,0.0,0.0,央视,http://news.sina.com.cn/c/2020-01-31/doc-iimxxste7867375.shtml,0.0,0.0,0.0,2020-01-31,1,29.559090182993803,106.57544006681098
